 	i	P	        T						
	0	2.4707466E-05	1.3000000E+03						
	1	2.5755149E-05	1.3000000E+03						
	2	2.6847257E-05	1.3000000E+03						
	3	2.7985675E-05	1.3000000E+03						
	4	2.9172365E-05	1.3000000E+03						
	5	3.0409375E-05	1.3000000E+03						
	6	3.1698839E-05	1.3000000E+03						
	7	3.3042981E-05	1.3000000E+03						
	8	3.4444119E-05	1.3000000E+03						
	9	3.5904670E-05	1.3000000E+03						
	10	3.7427153E-05	1.3000000E+03						
	11	3.9014195E-05	1.3000000E+03						
	12	4.0668534E-05	1.3000000E+03						
	13	4.2393022E-05	1.3000000E+03						
	14	4.4190634E-05	1.3000000E+03						
	15	4.6064471E-05	1.3000000E+03						
	16	4.8017766E-05	1.3000000E+03						
	17	5.0053887E-05	1.3000000E+03						
	18	5.2176347E-05	1.3000000E+03						
	19	5.4388806E-05	1.3000000E+03						
	20	5.6695082E-05	1.3000000E+03						
	21	5.9099151E-05	1.3000000E+03						
	22	6.1605162E-05	1.3000000E+03						
	23	6.4217436E-05	1.3000000E+03						
	24	6.6940480E-05	1.3000000E+03						
	25	6.9778990E-05	1.3000000E+03						
	26	7.2737863E-05	1.3000000E+03						
	27	7.5822203E-05	1.3000000E+03						
	28	7.9037329E-05	1.3000000E+03						
	29	8.2388788E-05	1.3000000E+03						
	30	8.5882361E-05	1.3000000E+03						
	31	8.9524073E-05	1.3000000E+03						
	32	9.3320207E-05	1.3000000E+03						
	33	9.7277310E-05	1.3000000E+03						
	34	1.0140221E-04	1.3000000E+03						
	35	1.0570202E-04	1.3000000E+03						
	36	1.1018415E-04	1.3000000E+03						
	37	1.1485634E-04	1.3000000E+03						
	38	1.1972665E-04	1.3000000E+03						
	39	1.2480348E-04	1.3000000E+03						
	40	1.3009559E-04	1.3000000E+03						
	41	1.3561209E-04	1.3000000E+03						
	42	1.4136252E-04	1.3000000E+03						
	43	1.4735679E-04	1.3000000E+03						
	44	1.5360523E-04	1.3000000E+03						
	45	1.6011863E-04	1.3000000E+03						
	46	1.6690822E-04	1.3000000E+03						
	47	1.7398571E-04	1.3000000E+03						
	48	1.8136331E-04	1.3000000E+03						
	49	1.8905375E-04	1.3000000E+03						
	50	1.9707029E-04	1.3000000E+03						
	51	2.0542676E-04	1.3000000E+03						
	52	2.1413757E-04	1.3000000E+03						
	53	2.2321775E-04	1.3000000E+03						
	54	2.3268297E-04	1.3000000E+03						
	55	2.4254954E-04	1.3000000E+03						
	56	2.5283448E-04	1.3000000E+03						
	57	2.6355555E-04	1.3000000E+03						
	58	2.7473123E-04	1.3000000E+03						
	59	2.8638079E-04	1.3000000E+03						
	60	2.9852434E-04	1.3000000E+03						
	61	3.1118281E-04	1.3000000E+03						
	62	3.2437805E-04	1.3000000E+03						
	63	3.3813282E-04	1.3000000E+03						
	64	3.5247083E-04	1.3000000E+03						
	65	3.6741682E-04	1.3000000E+03						
	66	3.8299658E-04	1.3000000E+03						
	67	3.9923698E-04	1.3000000E+03						
	68	4.1616602E-04	1.3000000E+03						
	69	4.3381291E-04	1.3000000E+03						
	70	4.5220810E-04	1.3000000E+03						
	71	4.7138330E-04	1.3000000E+03						
	72	4.9137160E-04	1.3000000E+03						
	73	5.1220747E-04	1.3000000E+03						
	74	5.3392686E-04	1.3000000E+03						
	75	5.5656723E-04	1.3000000E+03						
	76	5.8016762E-04	1.3000000E+03						
	77	6.0476876E-04	1.3000000E+03						
	78	6.3041307E-04	1.3000000E+03						
	79	6.5714478E-04	1.3000000E+03						
	80	6.8501002E-04	1.3000000E+03						
	81	7.1405684E-04	1.3000000E+03						
	82	7.4433534E-04	1.3000000E+03						
	83	7.7589776E-04	1.3000000E+03						
	84	8.0879854E-04	1.3000000E+03						
	85	8.4309443E-04	1.3000000E+03						
	86	8.7884458E-04	1.3000000E+03						
	87	9.1611066E-04	1.3000000E+03						
	88	9.5495695E-04	1.3000000E+03						
	89	9.9545047E-04	1.3000000E+03						
	90	1.0376610E-03	1.3000000E+03						
	91	1.0816615E-03	1.3000000E+03						
	92	1.1275277E-03	1.3000000E+03						
	93	1.1753388E-03	1.3000000E+03						
	94	1.2251773E-03	1.3000000E+03						
	95	1.2771291E-03	1.3000000E+03						
	96	1.3312839E-03	1.3000000E+03						
	97	1.3877350E-03	1.3000000E+03						
	98	1.4465798E-03	1.3000000E+03						
	99	1.5079198E-03	1.3000000E+03						
	100	1.5718609E-03	1.3000000E+03						
	101	1.6385133E-03	1.3000000E+03						
	102	1.7079920E-03	1.3000000E+03						
	103	1.7804168E-03	1.3000000E+03						
	104	1.8559127E-03	1.3000000E+03						
	105	1.9346099E-03	1.3000000E+03						
	106	2.0166441E-03	1.3000000E+03						
	107	2.1021568E-03	1.3000000E+03						
	108	2.1912956E-03	1.3000000E+03						
	109	2.2842142E-03	1.3000000E+03						
	110	2.3810729E-03	1.3000000E+03						
	111	2.4820387E-03	1.3000000E+03						
	112	2.5872858E-03	1.3000000E+03						
	113	2.6969958E-03	1.3000000E+03						
	114	2.8113578E-03	1.3000000E+03						
	115	2.9305692E-03	1.3000000E+03						
	116	3.0548356E-03	1.3000000E+03						
	117	3.1843713E-03	1.3000000E+03						
	118	3.3193998E-03	1.3000000E+03						
	119	3.4601540E-03	1.3000000E+03						
	120	3.6068766E-03	1.3000000E+03						
	121	3.7598208E-03	1.3000000E+03						
	122	3.9192503E-03	1.3000000E+03						
	123	4.0854402E-03	1.3000000E+03						
	124	4.2586772E-03	1.3000000E+03						
	125	4.4392600E-03	1.3000000E+03						
	126	4.6275001E-03	1.3000000E+03						
	127	4.8237223E-03	1.3000000E+03						
	128	5.0282650E-03	1.3000000E+03						
	129	5.2414810E-03	1.3000000E+03						
	130	5.4637381E-03	1.3000000E+03						
	131	5.6954197E-03	1.3000000E+03						
	132	5.9369254E-03	1.3000000E+03						
	133	6.1886718E-03	1.3000000E+03						
	134	6.4510931E-03	1.3000000E+03						
	135	6.7246420E-03	1.3000000E+03						
	136	7.0097903E-03	1.3000000E+03						
	137	7.3070299E-03	1.3000000E+03						
	138	7.6168735E-03	1.3000000E+03						
	139	7.9398556E-03	1.3000000E+03						
	140	8.2765332E-03	1.3000000E+03						
	141	8.6274871E-03	1.3000000E+03						
	142	8.9933228E-03	1.3000000E+03						
	143	9.3746711E-03	1.3000000E+03						
	144	9.7721899E-03	1.3000000E+03						
	145	1.0186565E-02	1.3000000E+03						
	146	1.0618511E-02	1.3000000E+03						
	147	1.1068773E-02	1.3000000E+03						
	148	1.1538127E-02	1.3000000E+03						
	149	1.2027384E-02	1.3000000E+03						
	150	1.2537388E-02	1.3000000E+03						
	151	1.3069017E-02	1.3000000E+03						
	152	1.3623189E-02	1.3000000E+03						
	153	1.4200859E-02	1.3000000E+03						
	154	1.4803026E-02	1.3000000E+03						
	155	1.5430726E-02	1.3000000E+03						
	156	1.6085042E-02	1.3000000E+03						
	157	1.6767104E-02	1.3000000E+03						
	158	1.7478088E-02	1.3000000E+03						
	159	1.8219220E-02	1.3000000E+03						
	160	1.8991779E-02	1.3000000E+03						
	161	1.9797097E-02	1.3000000E+03						
	162	2.0636563E-02	1.3000000E+03						
	163	2.1511625E-02	1.3000000E+03						
	164	2.2423793E-02	1.3000000E+03						
	165	2.3374640E-02	1.3000000E+03						
	166	2.4365807E-02	1.3000000E+03						
	167	2.5399002E-02	1.3000000E+03						
	168	2.6476009E-02	1.3000000E+03						
	169	2.7598684E-02	1.3000000E+03						
	170	2.8768965E-02	1.3000000E+03						
	171	2.9988869E-02	1.3000000E+03						
	172	3.1260502E-02	1.3000000E+03						
	173	3.2586057E-02	1.3000000E+03						
	174	3.3967819E-02	1.3000000E+03						
	175	3.5408174E-02	1.3000000E+03						
	176	3.6909604E-02	1.3000000E+03						
	177	3.8474700E-02	1.3000000E+03						
	178	4.0106162E-02	1.3000000E+03						
	179	4.1806803E-02	1.3000000E+03						
	180	4.3579558E-02	1.3000000E+03						
	181	4.5427484E-02	1.3000000E+03						
	182	4.7353768E-02	1.3000000E+03						
	183	4.9361733E-02	1.3000000E+03						
	184	5.1454843E-02	1.3000000E+03						
	185	5.3636708E-02	1.3000000E+03						
	186	5.5911092E-02	1.3000000E+03						
	187	5.8281918E-02	1.3000000E+03						
	188	6.0753275E-02	1.3000000E+03						
	189	6.3329426E-02	1.3000000E+03						
	190	6.6014815E-02	1.3000000E+03						
	191	6.8814074E-02	1.3000000E+03						
	192	7.1732031E-02	1.3000000E+03						
	193	7.4773720E-02	1.3000000E+03						
	194	7.7944387E-02	1.3000000E+03						
	195	8.1249502E-02	1.3000000E+03						
	196	8.4694764E-02	1.3000000E+03						
	197	8.8286118E-02	1.3000000E+03						
	198	9.2029758E-02	1.3000000E+03						
	199	9.5932142E-02	1.3000000E+03						
	200	1.0000000E-01	1.3000000E+03						
	201	1.0424036E-01	1.3000000E+03						
	202	1.0866052E-01	1.3000000E+03						
	203	1.1326812E-01	1.3000000E+03						
	204	1.1807108E-01	1.3000000E+03						
	205	1.2307772E-01	1.3000000E+03						
	206	1.2829665E-01	1.3000000E+03						
	207	1.3373689E-01	1.3000000E+03						
	208	1.3940781E-01	1.3000000E+03						
	209	1.4531920E-01	1.3000000E+03						
	210	1.5148125E-01	1.3000000E+03						
	211	1.5790459E-01	1.3000000E+03						
	212	1.6460032E-01	1.3000000E+03						
	213	1.7157996E-01	1.3000000E+03						
	214	1.7885556E-01	1.3000000E+03						
	215	1.8643967E-01	1.3000000E+03						
	216	1.9434517E-01	1.3000000E+03						
	217	2.0258610E-01	1.3000000E+03						
	218	2.1117646E-01	1.3000000E+03						
	219	2.2013110E-01	1.3000000E+03						
	220	2.2946545E-01	1.3000000E+03						
	221	2.3919561E-01	1.3000000E+03						
	222	2.4933834E-01	1.3000000E+03						
	223	2.5991119E-01	1.3000000E+03						
	224	2.7093233E-01	1.3000000E+03						
	225	2.8242084E-01	1.3000000E+03						
	226	2.9439650E-01	1.3000000E+03						
	227	3.0687995E-01	1.3000000E+03						
	228	3.1989275E-01	1.3000000E+03						
	229	3.3345734E-01	1.3000000E+03						
	230	3.4759712E-01	1.3000000E+03						
	231	3.6233648E-01	1.3000000E+03						
	232	3.7770085E-01	1.3000000E+03						
	233	3.9371671E-01	1.3000000E+03						
	234	4.1041171E-01	1.3000000E+03						
	235	4.2781462E-01	1.3000000E+03						
	236	4.4595549E-01	1.3000000E+03						
	237	4.6486562E-01	1.3000000E+03						
	238	4.8457755E-01	1.3000000E+03						
	239	5.0512535E-01	1.3000000E+03						
	240	5.2654450E-01	1.3000000E+03						
	241	5.4887123E-01	1.3000000E+03						
	242	5.7214534E-01	1.3000000E+03						
	243	5.9640633E-01	1.3000000E+03						
	244	6.2169611E-01	1.3000000E+03						
	245	6.4805822E-01	1.3000000E+03						
	246	6.7553824E-01	1.3000000E+03						
	247	7.0418346E-01	1.3000000E+03						
	248	7.3404335E-01	1.3000000E+03						
	249	7.6516935E-01	1.3000000E+03						
	250	7.9761530E-01	1.3000000E+03						
	251	8.3143705E-01	1.3000000E+03						
	252	8.6669297E-01	1.3000000E+03						
	253	9.0344383E-01	1.3000000E+03						
	254	9.4175302E-01	1.3000000E+03						
	255	9.8168675E-01	1.3000000E+03						
	256	1.0233138E+00	1.3000000E+03						
	257	1.0667059E+00	1.3000000E+03						
	258	1.1119380E+00	1.3000000E+03						
	259	1.1590882E+00	1.3000000E+03						
	260	1.2082377E+00	1.3000000E+03						
	261	1.2594713E+00	1.3000000E+03						
	262	1.3128773E+00	1.3000000E+03						
	263	1.3685480E+00	1.3000000E+03						
	264	1.4265793E+00	1.3000000E+03						
	265	1.4870714E+00	1.3000000E+03						
	266	1.5501286E+00	1.3000000E+03						
	267	1.6158594E+00	1.3000000E+03						
	268	1.6843776E+00	1.3000000E+03						
	269	1.7558013E+00	1.3000000E+03						
	270	1.8302535E+00	1.3000000E+03						
	271	1.9078629E+00	1.3000000E+03						
	272	1.9887630E+00	1.3000000E+03						
	273	2.0730937E+00	1.3000000E+03						
	274	2.1610002E+00	1.3000000E+03						
	275	2.2526319E+00	1.3000000E+03						
	276	2.3481514E+00	1.3000000E+03						
	277	2.4477215E+00	1.3000000E+03						
	278	2.5515135E+00	1.3000000E+03						
	279	2.6597068E+00	1.3000000E+03						
	280	2.7724880E+00	1.3000000E+03						
	281	2.8900513E+00	1.3000000E+03						
